Tarih;Saat;Consumption
6.05.2021;00:00;34836.79
6.05.2021;01:00;33735.89
6.05.2021;02:00;33170.81
6.05.2021;03:00;32406.81
6.05.2021;04:00;31797.03
6.05.2021;05:00;30118.57
6.05.2021;06:00;28762.49
6.05.2021;07:00;30417.27
6.05.2021;08:00;34881.25
6.05.2021;09:00;37383.31
6.05.2021;10:00;38504.3
6.05.2021;11:00;39531.2
6.05.2021;12:00;38609.29
6.05.2021;13:00;39306.9
6.05.2021;14:00;40333.91
6.05.2021;15:00;39593.82
6.05.2021;16:00;38659.98
6.05.2021;17:00;37359.97
6.05.2021;18:00;36731.07
6.05.2021;19:00;37303.31
6.05.2021;20:00;36776.98
6.05.2021;21:00;37441.86
6.05.2021;22:00;36966.27
6.05.2021;23:00;35859.09
7.05.2021;00:00;34407.89
7.05.2021;01:00;32984.77
7.05.2021;02:00;32736.92
7.05.2021;03:00;31913.44
7.05.2021;04:00;31318.7
7.05.2021;05:00;29803.19
7.05.2021;06:00;28383.82
7.05.2021;07:00;29731.46
7.05.2021;08:00;33607.69
7.05.2021;09:00;36223.81
7.05.2021;10:00;37333.64
7.05.2021;11:00;38342.99
7.05.2021;12:00;37469.05
7.05.2021;13:00;37356.55
7.05.2021;14:00;38914.87
7.05.2021;15:00;38593.46
7.05.2021;16:00;38018.06
7.05.2021;17:00;37263.45
7.05.2021;18:00;37036.51
7.05.2021;19:00;37511.06
7.05.2021;20:00;36925.47
7.05.2021;21:00;37404.93
7.05.2021;22:00;36912.22
7.05.2021;23:00;35764.91
8.05.2021;00:00;34403.55
8.05.2021;01:00;33454.34
8.05.2021;02:00;32807.13
8.05.2021;03:00;32151.4
8.05.2021;04:00;31402.52
8.05.2021;05:00;29550.87
8.05.2021;06:00;28038.74
8.05.2021;07:00;29092.95
8.05.2021;08:00;32484.64
8.05.2021;09:00;34633.34
8.05.2021;10:00;35799.09
8.05.2021;11:00;36684.17
8.05.2021;12:00;36509.19
8.05.2021;13:00;37179.4
8.05.2021;14:00;37586.8
8.05.2021;15:00;37325.24
8.05.2021;16:00;36488.04
8.05.2021;17:00;35779.48
8.05.2021;18:00;36033.29
8.05.2021;19:00;36786.43
8.05.2021;20:00;36210.81
8.05.2021;21:00;36544.8
8.05.2021;22:00;35744.04
8.05.2021;23:00;34356.31
9.05.2021;00:00;33442.59
9.05.2021;01:00;32124.14
9.05.2021;02:00;31577.68
9.05.2021;03:00;30787.81
9.05.2021;04:00;29749.04
9.05.2021;05:00;27711.74
9.05.2021;06:00;25955.15
9.05.2021;07:00;26239.71
9.05.2021;08:00;27903.03
9.05.2021;09:00;29351.99
9.05.2021;10:00;30472.59
9.05.2021;11:00;31618.15
9.05.2021;12:00;32177.33
9.05.2021;13:00;32799.1
9.05.2021;14:00;33153.8
9.05.2021;15:00;32761.88
9.05.2021;16:00;32270.35
9.05.2021;17:00;32331.51
9.05.2021;18:00;33056.62
9.05.2021;19:00;34329.3
9.05.2021;20:00;34208.08
9.05.2021;21:00;34478.45
9.05.2021;22:00;33799.12
9.05.2021;23:00;32711.54
10.05.2021;00:00;31700.66
10.05.2021;01:00;30828.2
10.05.2021;02:00;30322.73
10.05.2021;03:00;29564.43
10.05.2021;04:00;28658.91
10.05.2021;05:00;26930.25
10.05.2021;06:00;25795.88
10.05.2021;07:00;27543.87
10.05.2021;08:00;31129.79
10.05.2021;09:00;33520.22
10.05.2021;10:00;34874.2
10.05.2021;11:00;36223.77
10.05.2021;12:00;36005.28
10.05.2021;13:00;36634.72
10.05.2021;14:00;37282.86
10.05.2021;15:00;36951.41
10.05.2021;16:00;36500.54
10.05.2021;17:00;35959.34
10.05.2021;18:00;35651.65
10.05.2021;19:00;36589.31
10.05.2021;20:00;36167.82
10.05.2021;21:00;36882.37
10.05.2021;22:00;36142.97
10.05.2021;23:00;34831.81
11.05.2021;00:00;33683.03
11.05.2021;01:00;32477.24
11.05.2021;02:00;31925.07
11.05.2021;03:00;31118.59
11.05.2021;04:00;30205.95
11.05.2021;05:00;28411.61
11.05.2021;06:00;27090.5
11.05.2021;07:00;27861.72
11.05.2021;08:00;31577.08
11.05.2021;09:00;33717.6
11.05.2021;10:00;34934.01
11.05.2021;11:00;36350.33
11.05.2021;12:00;35792.75
11.05.2021;13:00;36402.26
11.05.2021;14:00;36757.14
11.05.2021;15:00;36280.1
11.05.2021;16:00;35741.92
11.05.2021;17:00;35025.67
11.05.2021;18:00;34912.83
11.05.2021;19:00;35807.47
