Tarih;Income;Visitor
2012 Q1;3524;4219
2012 Q2;7066;9323
2012 Q3;11055;15437
2012 Q4;7361;7484
2013 Q1;4649;4774
2013 Q2;8316;10268
2013 Q3;11579;16058
2013 Q4;7765;8127
2014 Q1;4808;5066
2014 Q2;8976;10967
2014 Q3;12854;17084
2014 Q4;7668;8298
2015 Q1;4869;5345
2015 Q2;7734;10751
2015 Q3;12294;17409
2015 Q4;6568;8113
2016 Q1;4066;5108
2016 Q2;4981;7495
2016 Q3;8277;12063
2016 Q4;4783;6699
2017 Q1;3370;4845
2017 Q2;5413;8863
2017 Q3;11392;16663
2017 Q4;6109;8249
2018 Q1;4425;6122
2018 Q2;7045;11068
2018 Q3;11503;18787
2018 Q4;6540;9652
2019 Q1;4630;6644
2019 Q2;7974;12762
2019 Q3;14031;21612
2019 Q4;7886;10841
2020 Q1;4101;5639
2020 Q2;0;0
2020 Q3;4044;5604
2020 Q4;3914;4583
