Ay;Holiday in Turkey;Turkey hotels
2012-01;29;63
2012-02;23;57
2012-03;22;60
2012-04;26;65
2012-05;24;81
2012-06;37;99
2012-07;37;100
2012-08;36;96
2012-09;35;75
2012-10;19;47
2012-11;19;34
2012-12;13;31
2013-01;27;62
2013-02;22;61
2013-03;25;53
2013-04;27;71
2013-05;29;88
2013-06;39;78
2013-07;31;80
2013-08;27;84
2013-09;23;53
2013-10;18;35
2013-11;22;36
2013-12;14;30
2014-01;25;69
2014-02;22;68
2014-03;27;64
2014-04;28;66
2014-05;33;80
2014-06;36;84
2014-07;32;92
2014-08;31;87
2014-09;26;59
2014-10;18;41
2014-11;30;30
2014-12;14;33
2015-01;25;58
2015-02;19;55
2015-03;17;45
2015-04;20;60
2015-05;27;68
2015-06;33;75
2015-07;31;67
2015-08;22;69
2015-09;19;44
2015-10;13;33
2015-11;21;30
2015-12;11;24
2016-01;13;32
2016-02;11;33
2016-03;16;35
2016-04;12;43
2016-05;20;47
2016-06;19;56
2016-07;27;49
2016-08;16;39
2016-09;10;35
2016-10;11;29
2016-11;16;24
2016-12;9;25
2017-01;12;28
2017-02;10;30
2017-03;13;35
2017-04;13;39
2017-05;15;48
2017-06;21;49
2017-07;18;65
2017-08;20;50
2017-09;14;54
2017-10;12;35
2017-11;17;30
2017-12;12;25
2018-01;16;47
2018-02;12;39
2018-03;14;42
2018-04;21;50
2018-05;21;55
2018-06;15;65
2018-07;24;69
2018-08;28;70
2018-09;19;49
2018-10;17;40
2018-11;22;36
2018-12;15;32
2019-01;21;46
2019-02;13;51
2019-03;15;43
2019-04;18;55
2019-05;24;58
2019-06;26;76
2019-07;28;77
2019-08;23;67
2019-09;25;61
2019-10;19;48
2019-11;20;37
2019-12;16;40
2020-01;20;53
2020-02;18;49
2020-03;12;22
2020-04;9;18
2020-05;9;24
2020-06;13;28
2020-07;20;42
2020-08;18;62
2020-09;22;67
2020-10;9;35
2020-11;17;31
2020-12;10;36
